"Y","Objective","Error_Metric","Rounds","Booster","LM_Lambda","LM_Alpha","LM_Lambda_Bias","Eta","Max_Depth","Subsample","Colsample_bytree","Colsample_bylevel","Error"
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.9,0.7,0.5,13.3815122
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.9,0.7,0.7,13.4902874
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.9,0.7,0.9,13.4274592
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.9,0.9,0.5,13.444165
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.9,0.9,0.7,13.4707148
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.9,0.9,0.9,13.4241976
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.5,0.5,0.5,7.2588168
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.5,0.5,0.7,7.1262718
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.5,0.5,0.9,7.196727
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.5,0.7,0.5,7.3577654
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.5,0.7,0.7,7.2123118
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.5,0.7,0.9,7.2136752
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.5,0.9,0.5,7.3265944
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.5,0.9,0.7,7.2117696
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.5,0.9,0.9,7.1897084
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.7,0.5,0.5,7.1783462
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.7,0.5,0.7,7.121033
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.7,0.5,0.9,7.1372396
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.7,0.7,0.5,7.1252004
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.7,0.7,0.7,7.07662
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.7,0.7,0.9,7.0866826
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.7,0.9,0.5,7.093209
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.7,0.9,0.7,7.1221154
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.7,0.9,0.9,6.995459
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.9,0.5,0.5,7.4289806
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.9,0.5,0.7,7.1836032
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.9,0.5,0.9,7.203556
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.9,0.7,0.5,7.3752056
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.9,0.7,0.7,7.101957
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.9,0.7,0.9,7.2246898
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,4,0.9,0.9,0.5,7.176186
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,4,0.9,0.9,0.7,7.1046692
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,4,0.9,0.9,0.9,7.0995114
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.5,0.5,0.5,7.440766
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.5,0.5,0.7,7.3307718
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.5,0.5,0.9,7.1749392
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.5,0.7,0.5,7.3404116
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.5,0.7,0.7,7.215734
